연번,호선,보관함명,상세위치
74,2,홍대입구66~113,"2,8번 출입구 게이트 맞은편 화장실 주변"
75,2,홍대입구114~143,"2,8번 출입구 게이트 맞은편"
76,2,홍대입구144~171,"1, 12번 출입 게이트 옆"
77,2,신촌1~22,지하1층  백화점 연결통로 주변
78,2,신촌23~49,5번 출입구 게이트 주변
79,2,신촌50~71,5번 출입구 게이트 주변
80,2,이대A,5번 출입구 화장실 주변
81,2,아현,3번 출입구 ATM주변
82,2,충정로A,"B2층 1,2번 출입구 화장실 주변"
83,2,용답,"1,2번 출입구 사이 게이트 주변"
84,2,신답,1번 출입구 주변 게이트 주변
85,2,신설동B,10번 출입구 게이트 내부
86,2,도림천,1번 출입구 게이트 주변
87,2,양천구청,2번 출입구 상가(던킨도너츠) 주변
88,2,신정네거리,3번 출입구 주변
89,2,용두,1번 출입구에서 3번 출입구 사이 통로
90,3,지축,1번 출입구 게이트 주변
91,3,구파발,"1,4번 출입구 주변"
92,3,연신내A,"6,7번 출입구 주변"
93,3,불광A,"1,4,5번 출입구 주변"
94,3,녹번A,"1,4,5번 출입구 주변"
95,3,홍제A,"지하2층 1,4번 출입구 주변"
96,3,홍제B,"지하2층 2,3번 출입구 주변"
97,3,무악재,지하2층 복도 통로
98,3,독립문,"3,4번 출입구 주변"
99,3,경복궁52~76,"4,6번 출입구 계단 밑"
100,3,경복궁1~29,7번 출입구 주변 계단 밑
101,3,경복궁30~51,7번 출입구 주변 계단 밑
102,3,안국43~83,B2층 게이트 주변
103,3,안국1~42,B2층 게이트 주변
104,3,종로3가C,3번 출입구 게이트 내부
105,3,을지로3가B,9번 출입구 게이트 주변
106,3,동대입구,"1,2번 출입구와 3,4번 출입구 사이 통로"
107,3,약수A,"4,5번 출입구 게이트 내부"
108,3,금호,3번 출입구 주변
109,3,옥수,"1,2번 출입구 방향 화장실 주변"
110,3,압구정1~26,6번 출입구 주변
111,3,압구정27~43,4번 출입구 주변
112,3,신사1~45,6번 출입구 게이트 주변
113,3,신사46~68,"6, 7번 출입구 주변"
